conda list --name vmamba_dino
libedit                   3.1.20250104    pl5321h7949ede_0    conda-forge
libegl                    1.7.0                ha4b6fd6_2    conda-forge
libev                     4.33                 hd590300_2    conda-forge
libexpat                  2.7.1                hecca717_0    conda-forge
libffi                    3.4.6                h2dba641_1    conda-forge
libflac                   1.4.3                h59595ed_0    conda-forge
libfreetype               2.13.3               ha770c72_1    conda-forge
libfreetype6              2.13.3               h48d6fc4_1    conda-forge
libgcc                    14.2.0               h767d61c_2    conda-forge
libgcc-ng                 14.2.0               h69a702a_2    conda-forge
libgcrypt-lib             1.11.1               hb9d3cd8_0    conda-forge
libgettextpo              0.25.1               h3f43e3d_1    conda-forge
libgettextpo-devel        0.25.1               h3f43e3d_1    conda-forge
libgfortran               14.2.0               h69a702a_2    conda-forge
libgfortran5              14.2.0               hf1ad2bd_2    conda-forge
libgl                     1.7.0                ha4b6fd6_2    conda-forge
libglib                   2.84.3               h1fed272_1    conda-forge
libglu                    9.0.3                h5888daf_1    conda-forge
libglvnd                  1.7.0                ha4b6fd6_2    conda-forge
libglx                    1.7.0                ha4b6fd6_2    conda-forge
libgomp                   14.2.0               h767d61c_2    conda-forge
libgpg-error              1.55                 h3f2d84a_0    conda-forge
libhwloc                  2.12.1          default_h3d81e11_1000    conda-forge
libhwy                    1.3.0                h4c17acf_0    conda-forge
libiconv                  1.18                 h3b78370_2    conda-forge
libjpeg-turbo             3.1.0                hb9d3cd8_0    conda-forge
libjxl                    0.11.1               h0a47e8d_3    conda-forge
liblapack                 3.9.0           31_h7ac8fdf_openblas    conda-forge
liblapacke                3.9.0           31_he2f377e_openblas    conda-forge
liblzma                   5.8.1                hb9d3cd8_0    conda-forge
liblzma-devel             5.8.1                hb9d3cd8_0    conda-forge
libnghttp2                1.67.0               had1ee68_0    conda-forge
libnsl                    2.0.1                hd590300_0    conda-forge
libogg                    1.3.5                hd0c01bc_1    conda-forge
libopenblas               0.3.29          pthreads_h94d23a6_0    conda-forge
libopencv                 4.12.0          headless_py310h7752bba_4    conda-forge
libopengl                 1.7.0                ha4b6fd6_2    conda-forge
libopenvino               2025.2.0             hb617929_1    conda-forge
libopenvino-auto-batch-plugin 2025.2.0             hed573e4_1    conda-forge
libopenvino-auto-plugin   2025.2.0             hed573e4_1    conda-forge
libopenvino-hetero-plugin 2025.2.0             hd41364c_1    conda-forge
libopenvino-intel-cpu-plugin 2025.2.0             hb617929_1    conda-forge
libopenvino-intel-gpu-plugin 2025.2.0             hb617929_1    conda-forge
libopenvino-intel-npu-plugin 2025.2.0             hb617929_1    conda-forge
libopenvino-ir-frontend   2025.2.0             hd41364c_1    conda-forge
libopenvino-onnx-frontend 2025.2.0             h1862bb8_1    conda-forge
libopenvino-paddle-frontend 2025.2.0             h1862bb8_1    conda-forge
libopenvino-pytorch-frontend 2025.2.0             hecca717_1    conda-forge
libopenvino-tensorflow-frontend 2025.2.0             h0767aad_1    conda-forge
libopenvino-tensorflow-lite-frontend 2025.2.0             hecca717_1    conda-forge
libopus                   1.5.2                hd0c01bc_0    conda-forge
libpciaccess              0.18                 hb9d3cd8_0    conda-forge
libpng                    1.6.50               h421ea60_1    conda-forge
libprotobuf               6.31.1               h9ef548d_1    conda-forge
librsvg                   2.58.4               he92a37e_3    conda-forge
libsndfile                1.2.2                hc60ed4a_1    conda-forge
libsqlite                 3.49.1               hee588c1_2    conda-forge
libssh2                   1.11.1               hcf80075_0    conda-forge
libstdcxx                 14.2.0               h8f9b012_2    conda-forge
libstdcxx-ng              14.2.0               h4852527_2    conda-forge
libsystemd0               257.7                h4e0b6ca_0    conda-forge
libtiff                   4.7.0                h8261f1e_6    conda-forge
libudev1                  257.7                hbe16f8c_0    conda-forge
libunwind                 1.8.3                h65a8314_0    conda-forge
liburing                  2.12                 hb700be7_0    conda-forge
libusb                    1.0.29               h73b1eb8_0    conda-forge
libuuid                   2.38.1               h0b41bf4_0    conda-forge
libva                     2.22.0               h4f16b4b_2    conda-forge
libvorbis                 1.3.7                h54a6638_2    conda-forge
libvpx                    1.14.1               hac33072_0    conda-forge
libwebp-base              1.6.0                hd42ef1d_0    conda-forge
libxcb                    1.17.0               h8a09558_0    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libxkbcommon              1.11.0               he8b52b9_0    conda-forge
libxml2                   2.13.8               h04c0eec_1    conda-forge
libzlib                   1.3.1                hb9d3cd8_2    conda-forge
lz4-c                     1.10.0               h5888daf_1    conda-forge
mako                      1.3.0                    pypi_0    pypi
markdown                  3.5.1                    pypi_0    pypi
markupsafe                2.1.3                    pypi_0    pypi
matplotlib                3.8.2                    pypi_0    pypi
mlflow                    2.9.1                    pypi_0    pypi
mmcv                      1.3.8                    pypi_0    pypi
mmsegmentation            0.14.1                   pypi_0    pypi
mpg123                    1.32.9               hc50e24c_0    conda-forge
mpmath                    1.3.0                    pypi_0    pypi
multidict                 6.0.4                    pypi_0    pypi
multiprocess              0.70.15                  pypi_0    pypi
ncurses                   6.5                  h2d0b736_3    conda-forge
networkx                  3.2.1                    pypi_0    pypi
ninja                     1.11.1.1                 pypi_0    pypi
numpy                     1.26.4                   pypi_0    pypi
oauthlib                  3.2.2                    pypi_0    pypi
ocl-icd                   2.3.3                hb9d3cd8_0    conda-forge
opencl-headers            2025.06.13           h5888daf_0    conda-forge
opencv-python             4.8.1.78                 pypi_0    pypi
openexr                   3.3.5                h608838b_1    conda-forge
openh264                  2.6.0                hc22cd8d_0    conda-forge
openjpeg                  2.5.3                h55fea9a_1    conda-forge
openssl                   3.5.2                h26f9b46_0    conda-forge
packaging                 23.2                     pypi_0    pypi
pandas                    2.1.3                    pypi_0    pypi
pango                     1.56.4               hadf4263_0    conda-forge
pcre2                     10.46                h1321c63_0    conda-forge
pillow                    10.4.0                   pypi_0    pypi
pip                       25.0.1             pyh8b19718_0    conda-forge
pixman                    0.46.4               h54a6638_1    conda-forge
platformdirs              4.1.0                    pypi_0    pypi
prettytable               3.9.0                    pypi_0    pypi
protobuf                  4.25.1                   pypi_0    pypi
psutil                    7.0.0                    pypi_0    pypi
pthread-stubs             0.4               hb9d3cd8_1002    conda-forge
pugixml                   1.15                 h3f63f65_0    conda-forge
pulseaudio-client         17.0                 hac146a9_1    conda-forge
py-opencv                 4.12.0          headless_py310h604663d_4    conda-forge
pyarrow                   14.0.1                   pypi_0    pypi
pyarrow-hotfix            0.6                      pypi_0    pypi
pydantic                  2.11.4                   pypi_0    pypi
pydantic-core             2.33.2                   pypi_0    pypi
pyjwt                     2.8.0                    pypi_0    pypi
pyparsing                 3.1.1                    pypi_0    pypi
python                    3.10.13         hd12c33a_1_cpython    conda-forge
python-dateutil           2.8.2                    pypi_0    pypi
python-hostlist           1.23.0                   pypi_0    pypi
python-tzdata             2025.2             pyhd8ed1ab_0    conda-forge
python_abi                3.10                    8_cp310    conda-forge
pytz                      2023.3.post1             pypi_0    pypi
pywavelets                1.8.0           py310h5eee18b_0  
pyyaml                    6.0.1                    pypi_0    pypi
querystring-parser        1.2.4                    pypi_0    pypi
rav1e                     0.7.1                h8fae777_3    conda-forge
readline                  8.2                  h8c095d6_2    conda-forge
regex                     2023.10.3                pypi_0    pypi
requests                  2.31.0                   pypi_0    pypi
safetensors               0.4.1                    pypi_0    pypi
scikit-image              0.25.2          py310h5eaa309_1    conda-forge
scikit-learn              1.7.1           py310h228f341_0    conda-forge
scipy                     1.11.4                   pypi_0    pypi
sdl2                      2.32.54              h3f2d84a_0    conda-forge
sdl3                      3.2.22               h68140b3_0    conda-forge
sentry-sdk                2.27.0                   pypi_0    pypi
setproctitle              1.3.6                    pypi_0    pypi
setuptools                78.1.0             pyhff2d567_0    conda-forge
shaderc                   2025.3               h3e344bc_1    conda-forge
six                       1.16.0                   pypi_0    pypi
smmap                     5.0.1                    pypi_0    pypi
snappy                    1.2.2                h03e3b7b_0    conda-forge
spirv-tools               2025.1               h84d6215_0    conda-forge
sqlalchemy                2.0.23                   pypi_0    pypi
sqlparse                  0.4.4                    pypi_0    pypi
svt-av1                   3.1.2                hecca717_0    conda-forge
sympy                     1.12                     pypi_0    pypi
tabulate                  0.9.0                    pypi_0    pypi
tbb                       2022.2.0             hb60516a_1    conda-forge
threadpoolctl             3.2.0                    pypi_0    pypi
tifffile                  2025.2.18       py310h06a4308_0  
timm                      0.4.12                   pypi_0    pypi
tk                        8.6.13          noxft_h4845f30_101    conda-forge
tokenizers                0.15.0                   pypi_0    pypi
tomli                     2.0.1                    pypi_0    pypi
torch                     2.1.1+cu121              pypi_0    pypi
torchaudio                2.1.1+cu121              pypi_0    pypi
torchvision               0.16.1+cu121             pypi_0    pypi
tqdm                      4.66.1                   pypi_0    pypi
transformers              4.35.2                   pypi_0    pypi
triton                    2.1.0                    pypi_0    pypi
typing-extensions         4.13.2                   pypi_0    pypi
typing-inspection         0.4.0                    pypi_0    pypi
tzdata                    2023.3                   pypi_0    pypi
urllib3                   2.1.0                    pypi_0    pypi
wandb                     0.19.11                  pypi_0    pypi
wayland                   1.24.0               h3e06ad9_0    conda-forge
wayland-protocols         1.45                 hd8ed1ab_0    conda-forge
wcwidth                   0.2.12                   pypi_0    pypi
websocket-client          1.7.0                    pypi_0    pypi
werkzeug                  3.0.1                    pypi_0    pypi
wheel                     0.45.1             pyhd8ed1ab_1    conda-forge
x264                      1!164.3095           h166bdaf_2    conda-forge
x265                      3.5                  h924138e_3    conda-forge
xkeyboard-config          2.45                 hb9d3cd8_0    conda-forge
xorg-libice               1.1.2                hb9d3cd8_0    conda-forge
xorg-libsm                1.2.6                he73a12e_0    conda-forge
xorg-libx11               1.8.12               h4f16b4b_0    conda-forge
xorg-libxau               1.0.12               hb9d3cd8_0    conda-forge
xorg-libxcursor           1.2.3                hb9d3cd8_0    conda-forge
xorg-libxdmcp             1.1.5                hb9d3cd8_0    conda-forge
xorg-libxext              1.3.6                hb9d3cd8_0    conda-forge
xorg-libxfixes            6.0.1                hb9d3cd8_0    conda-forge
xorg-libxi                1.8.2                hb9d3cd8_0    conda-forge
xorg-libxrender           0.9.12               hb9d3cd8_0    conda-forge
xorg-libxscrnsaver        1.2.4                hb9d3cd8_0    conda-forge
xxhash                    3.4.1                    pypi_0    pypi
xz                        5.8.1                hbcc6ac9_0    conda-forge
xz-gpl-tools              5.8.1                hbcc6ac9_0    conda-forge
xz-tools                  5.8.1                hb9d3cd8_0    conda-forge
yapf                      0.40.2                   pypi_0    pypi
yarl                      1.9.4                    pypi_0    pypi
zipp                      3.17.0                   pypi_0    pypi
zstd                      1.5.7                hb8e6e7a_2    conda-forge
